,,,M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB卷,院区,年级,姓名,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
,,,标准答案,D,C,C,C,B,D,A,C,D,C,B,C,C,B,E,B,A,D,B,A,E,C,D,C,A,A,E,C,A,D,B,D,C,D,B,C,D,C,A,C,E,D,ABD,ABC,ABCDE,ABDE,ABC,ABC,ABCD,ABCD,
A,A,1,1,C,C,C,C,B,D,A,C,D,B,B,C,C,A,D,B,A,C,B,A,E,C,D,D,A,A,E,E,C,E,B,D,C,D,A,C,D,A,A,C,E,D,ACD,ACD,ABCD,ABCDE,ABC,ABC,CD,ABD,
A,A,2,2,A,C,C,B,B,D,A,A,C,C,B,A,D,A,B,B,A,B,B,A,E,C,C,C,C,A,E,C,D,D,B,A,C,D,C,C,D,C,A,B,A,E,ACD,ABCDE,ABCDE,ABCD,ABCD,A,ABCDE,ABCDE,
A,A,2,3,A,C,B,C,B,D,A,B,C,A,E,A,D,A,B,B,A,B,B,B,C,C,A,B,A,A,A,C,C,E,B,D,C,D,C,C,A,D,A,E,A,C,ABD,BCD,ABCE,ABCDE,ABCDE,AB,AB,ABD,
A,A,1,4,D,C,C,A,B,B,A,C,B,C,D,A,E,C,E,B,A,B,B,A,E,C,C,D,C,A,A,C,D,E,A,D,C,C,D,B,D,B,A,C,E,B,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,
A,A,1,5,B,A,C,B,B,D,A,C,E,C,B,C,B,C,D,B,A,B,B,A,E,C,A,C,B,B,E,D,A,E,B,D,C,D,D,C,D,E,A,A,A,D,ABC,BCD,ABCDE,ABCDE,ABCDE,ABC,ABCD,AB,
A,A,1,6,C,C,C,A,B,A,A,B,B,A,B,A,C,D,E,B,A,D,B,A,E,A,D,C,B,A,A,E,D,D,B,D,A,D,B,C,D,B,A,E,E,D,ACD,ADE,ABCD,ABDE,ABC,ABC,ACD,ABCD,
A,A,2,7,C,C,C,D,B,A,A,A,C,A,C,A,C,C,E,B,A,C,B,A,E,C,A,C,B,A,E,C,D,E,B,D,C,D,D,B,D,C,A,C,E,C,AC,ABCD,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,
