,,,M卷,,,,,,,,
AB卷,院区,年级,姓名,43,44,45,46,47,48,49,50
,,,标准答案,ABD,ABC,ABCDE,ABDE,ABC,ABC,ABCD,ABCD
A,A,1,1,ACD,ACD,ABCD,ABCDE,ABC,ABC,CD,ABD
A,A,2,2,ACD,ABCDE,ABCDE,ABCD,ABCD,A,ABCDE,ABCDE
A,A,2,3,ABD,BCD,ABCE,ABCDE,ABCDE,AB,AB,ABD
A,A,1,4,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE
A,A,1,5,ABC,BCD,ABCDE,ABCDE,ABCDE,ABC,ABCD,AB
A,A,1,6,ACD,ADE,ABCD,ABDE,ABC,ABC,ACD,ABCD
A,A,2,7,AC,ABCD,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE
A,A,3,8,ACD,ABCDE,ABCDE,ABCDE,ABCDE,ABC,ABCD,ABD
A,A,3,9,AC,ABCD,ABCDE,ABCD,ABCD,ABDE,ABCD,ABCD
A,A,2,10,AC,AC,ABCD,ACD,ABC,ABC,ABCDE,ABCD
A,A,1,11,ABCDE,ABCD,ABCDE,ABCDE,ABCDE,ABC,AB,ABC
A,A,2,12,A,ABC,ABCDE,ABCDE,ABC,AB,ABCD,ABCD
A,B,1,13,ABCE,ABCD,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE
A,A,2,14,ABCDE,ABC,ABCDE,ABCDE,ABC,ABC,ABCD,ABCE
A,B,1,15,ABCD,ABCD,ABD,ABCD,BC,AC,ABCD,ABCD
A,B,1,16,ABC,ABCDE,ABCDE,ABCDE,ABCDE,ABC,ACE,ABC
A,B,2,17,A,BE,AB,BE,ACDE,ABCDE,ABC,BC
A,B,1,18,AC,ABCD,BC,ABCD,ABCE,ABC,ABD,AB
A,B,3,19,A,BCD,ABCDE,ABCDE,ABCD,ABC,ABD,AB
A,B,3,20,A,ABCD,ABCDE,ABD,ABCE,ABC,ABCD,BD
A,A,3,21,AC,ACE,ABC,ABCDE,ABC,A,ACE,ABD
A,A,2,22,AB,CD,ABCDE,BC,BC,BC,CD,BC
A,B,2,23,AD,ABC,ABCDE,ABCDE,ABCD,ABC,ABCD,ABCD
A,B,2,24,ABCDE,ABCD,ABCDE,ABCDE,ABC,ABC,ABCD,ABCD
A,B,3,25,A,ABC,ABCD,ABCDE,ABC,ABC,ABCD,ABCD
B,A,1,26,A,BCD,ABCDE,E,ABCE,ABC,ABCD,ABCD
B,A,3,27,ABC,ABCD,ABCDE,ABCDE,ABE,ABCE,CD,ABD
B,A,3,28,ABCDE,ABCD,ABCDE,ABCDE,ABC,ABC,ABCD,ABCD
B,B,2,29,ABCDE,ABCD,ABCD,ABC,ABCDE,ABC,ABCD,ABCD
B,B,2,30,ABC,ABC,ABCDE,ABCDE,ABCDE,ABCD,ACDE,ACD
B,B,1,31,AB,ADE,ABCE,ABC,ABCD,ABC,ABD,ABC
B,B,1,32,ABCD,BCDE,BDE,ABCDE,ABCD,ABC,ABCE,ABE
B,A,1,33,ABCD,ABE,ABC,ABDE,ABCE,ABC,ABCD,ABD
B,A,2,34,ABC,ABCD,ABCDE,ABCDE,ABC,ABC,ABD,ABCD
B,B,2,35,AC,ABC,ABCDE,ABCD,ABC,ABC,ABCD,ABCD
B,B,1,36,ABCDE,ABCD,ABCDE,ABCD,ABCDE,ABC,ABCD,ABCD
B,B,2,37,ABC,ABCE,ABCDE,ABCDE,ABE,ABC,ABCD,ABC
B,A,2,38,A,A,D,AD,ABCDE,AC,ABCD,ABC
B,B,3,39,CD,ABCE,ABE,ABCD,ABC,AB,ABCD,ABCD
B,A,2,40,ACDE,ABC,ABCD,ABCDE,ABCDE,ABC,BCD,ABCD
B,A,2,41,A,ABCD,ABCDE,ABCDE,ABCDE,ABCD,ABCDE,ABCD
B,A,2,42,ABCD,ABCDE,ABCDE,ABCD,ABCD,ABC,ABCDE,ABCD
B,A,3,43,D,CD,B,B,BD,ABC,C,C
B,A,1,44,ABCE,AC,ABCDE,ABCD,ABCDE,ABC,ABCDE,ABD
B,A,1,45,ABCDE,ABC,ABCDE,ABC,ABC,ABC,ABCDE,ABCDE
B,A,2,46,ABCE,ABCDE,ABCDE,ACD,ABCDE,ABC,ABCDE,ABCDE
B,A,1,47,AC,ABCDE,ABCDE,ABCDE,ABCE,ABC,ABCD,ABC
B,A,1,48,AC,AB,ABCDE,ABCDE,ABCDE,ABCD,ABCD,ABCD
B,A,1,49,AB,AD,BD,ABCD,ABC,BCD,ADE,AB
B,A,3,50,ABC,AD,BC,ABCD,ACD,ABC,BE,ABC
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
