,,,,M卷,,,,,,,,
,AB卷,院区,年级,姓名,43,44,45,46,47,48,49,50
AB卷,,,,标准答案,ABD,ABC,ABCDE,ABDE,ABC,ABC,ABCD,ABCD
A,A,A,1,1,0,0,0,0,2,2,0,0
A,A,A,2,2,0,0,2,0,0,0,0,0
A,A,A,2,3,2,0,0,0,0,0,0,0
A,A,A,1,4,0,0,2,0,0,0,0,0
A,A,A,1,5,0,0,2,0,0,2,2,0
A,A,A,1,6,0,0,0,2,2,2,0,2
A,A,A,2,7,0,0,2,0,0,0,0,0
A,A,A,3,8,0,0,2,0,0,2,2,0
A,A,A,3,9,0,0,2,0,0,0,2,2
A,A,A,2,10,0,0,0,0,2,2,0,2
A,A,A,1,11,0,0,2,0,0,2,0,0
A,A,A,2,12,0,2,2,0,2,0,2,2
A,A,B,1,13,0,0,2,0,0,0,0,0
A,A,A,2,14,0,2,2,0,2,2,2,0
A,A,B,1,15,0,0,0,0,0,0,2,2
A,A,B,1,16,0,0,2,0,0,2,0,0
A,A,B,2,17,0,0,0,0,0,0,0,0
A,A,B,1,18,0,0,0,0,0,2,0,0
A,A,B,3,19,0,0,2,0,0,2,0,0
A,A,B,3,20,0,0,2,0,0,2,2,0
A,A,A,3,21,0,0,0,0,2,0,0,0
A,A,A,2,22,0,0,2,0,0,0,0,0
A,A,B,2,23,0,2,2,0,0,2,2,2
A,A,B,2,24,0,0,2,0,2,2,2,2
A,A,B,3,25,0,2,0,0,2,2,2,2
B,B,A,1,26,0,0,2,0,0,2,2,2
B,B,A,3,27,0,0,2,0,0,0,0,0
B,B,A,3,28,0,0,2,0,2,2,2,2
B,B,B,2,29,0,0,0,0,0,2,2,2
B,B,B,2,30,0,2,2,0,0,0,0,0
B,B,B,1,31,0,0,0,0,0,2,0,0
B,B,B,1,32,0,0,0,0,0,2,0,0
B,B,A,1,33,0,0,0,2,0,2,2,0
B,B,A,2,34,0,0,2,0,2,2,0,2
B,B,B,2,35,0,2,2,0,2,2,2,2
B,B,B,1,36,0,0,2,0,0,2,2,2
B,B,B,2,37,0,0,2,0,0,2,2,0
B,B,A,2,38,0,0,0,0,0,0,2,0
B,B,B,3,39,0,0,0,0,2,0,2,2
B,B,A,2,40,0,2,0,0,0,2,0,2
B,B,A,2,41,0,0,2,0,0,0,0,2
B,B,A,2,42,0,0,2,0,0,2,0,2
B,B,A,3,43,0,0,0,0,0,2,0,0
B,B,A,1,44,0,0,2,0,0,2,0,0
B,B,A,1,45,0,2,2,0,2,2,0,0
B,B,A,2,46,0,0,2,0,0,2,0,0
B,B,A,1,47,0,0,2,0,0,2,2,0
B,B,A,1,48,0,0,2,0,0,0,2,2
B,B,A,1,49,0,0,0,0,2,0,0,0
B,B,A,3,50,0,0,0,0,0,2,0,0
,,,,1275,2,16,62,4,28,64,42,38
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
