,,,P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,姓名,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
AB卷,年级,院区,标准答案,D,D,A,C,B,D,C,E,D,B,D,E,B,D,A,A,C,C,C,A,E,B,D,D,C,A,D,E,C,D,B,A,A,E,D,E,D,D,B,A,E,D,ABCE,ABDE,ACE,ABCD,BDE,B,BD,BD,31.0952380952381,
A,1,A,1,E,D,A,C,B,D,C,E,D,A,D,E,B,A,A,D,C,C,C,D,E,B,D,C,D,A,C,E,C,E,B,A,A,A,D,E,D,E,B,A,E,D,ABCE,ABCE,ACE,ACDE,BD,B,ABD,BCD,34,
A,2,A,2,C,D,A,C,B,B,D,E,D,D,D,E,B,B,A,D,B,B,C,B,B,B,D,A,C,A,C,D,A,A,B,A,E,A,E,E,B,D,B,A,E,D,BCE,ABDE,ACE,BC,BDE,B,BC,ABC,27,
A,2,A,3,C,C,B,C,B,D,C,E,D,B,D,E,B,B,B,B,B,C,D,A,C,E,D,C,B,A,C,A,D,A,B,A,A,A,B,E,B,D,B,A,E,D,ACE,CDE,BCE,ABDE,BDE,B,D,BCD,25,
A,1,A,4,E,C,A,B,E,D,C,E,C,D,B,E,B,C,A,D,B,A,C,D,A,D,D,A,C,A,C,E,E,B,A,A,A,A,E,E,D,D,B,A,C,A,ABCE,ABDE,BCDE,ABCE,ABCDE,C,BCD,ABCDE,21,
A,1,A,5,E,D,A,B,B,D,C,E,D,A,D,E,B,C,A,A,D,A,C,D,A,B,D,C,E,A,E,B,C,A,B,A,A,A,D,E,D,D,B,A,E,D,ABCE,ACDE,BCE,ABCDE,BDE,B,BD,ABCDE,32,
A,1,A,6,B,A,A,C,B,D,C,E,C,D,D,E,A,C,A,A,B,C,C,D,A,D,D,D,C,A,B,B,C,E,A,A,A,E,D,D,B,D,B,A,A,D,ABCE,ABCE,ABCDE,ABCDE,BD,B,AD,ABCD,27,
A,2,A,7,C,D,B,C,B,D,C,E,D,B,D,E,B,C,A,E,C,B,D,D,E,B,D,D,C,A,C,A,B,D,C,A,A,A,E,E,D,D,B,B,A,D,ABCE,ABCDE,ABCDE,ABCD,BDE,C,ABD,ABD,30,
A,3,A,8,C,D,A,B,B,D,A,E,D,A,D,E,B,D,A,C,D,C,C,A,A,B,D,D,A,A,D,E,D,D,C,A,A,C,B,E,D,D,B,A,E,D,ABCE,ABCDE,ABCDE,ABCDE,BDE,B,BD,BDE,34,
A,3,A,9,C,D,A,C,B,D,C,E,D,D,D,E,B,D,A,D,C,A,C,A,A,B,D,C,C,A,C,E,B,B,B,A,A,E,D,E,D,D,B,A,E,D,ABCE,ABDE,BCDE,ABCE,BDE,B,B,BDE,37,
A,2,A,10,C,D,A,A,B,D,C,E,D,B,D,E,B,C,A,D,C,C,C,A,C,B,D,C,D,A,D,B,D,E,B,A,A,A,D,A,D,D,A,A,E,B,ABCE,ACDE,ABCDE,ABCD,BDE,C,BD,BC,32,
A,1,A,11,C,D,A,C,B,D,C,E,D,D,D,E,C,B,A,D,B,C,C,A,B,D,A,D,C,A,E,A,B,B,B,A,A,A,D,E,B,D,B,A,A,D,ABE,BCDE,ABCDE,ABC,ABDE,B,CD,BCDE,27,1
A,2,A,12,C,B,A,C,B,D,C,E,D,B,D,E,E,D,A,A,C,C,C,A,E,E,D,B,C,A,D,D,D,E,B,A,A,E,D,E,D,D,B,C,B,D,ABC,AB,ACE,E,BDE,D,ABD,BD,35,
A,2,A,14,C,D,A,C,B,D,C,E,D,B,D,E,B,B,A,A,C,C,A,A,E,B,D,C,C,A,D,E,D,E,B,A,A,E,D,E,D,D,B,C,E,D,ABCE,ABCDE,ACDE,E,BDE,B,D,BD,38,
A,3,A,21,E,A,A,B,B,D,C,E,D,B,D,E,B,C,A,E,C,C,C,A,A,B,D,C,B,A,C,A,D,D,B,A,E,A,D,D,D,E,B,A,E,A,BE,ACDE,AC,ABDE,BD,B,BD,BC,28,
A,2,A,22,B,A,A,C,B,D,C,E,D,B,D,E,B,D,A,A,C,B,C,A,A,E,E,C,B,C,C,B,B,B,C,C,A,D,E,E,E,E,B,E,E,C,BC,BD,BC,BC,BC,C,BD,AB,22,1
B,1,A,26,E,D,A,C,B,D,C,E,D,A,D,E,B,A,A,A,C,C,C,D,C,B,D,D,B,A,E,A,C,E,B,A,A,E,D,E,D,D,B,A,E,D,ABCE,ACDE,ACDE,ABC,BDE,C,BD,DE,36,
B,3,A,27,C,D,A,C,B,D,C,E,D,B,D,E,B,D,A,A,C,C,C,A,E,D,A,D,B,A,C,E,C,E,A,A,A,A,D,D,D,D,B,D,D,D,ABE,ACDE,ABCE,C,BCD,B,AB,BC,32,1
B,3,A,28,C,D,A,C,B,D,C,E,D,A,D,E,B,D,A,A,C,C,D,A,C,B,D,D,C,A,D,E,C,A,B,A,A,E,D,E,D,D,B,A,E,A,ABCE,ABCDE,ACE,ABCD,BDE,B,B,BCD,41,
B,1,A,33,C,C,A,C,B,D,C,E,D,B,D,E,B,C,A,D,C,C,C,A,E,B,D,B,C,A,D,E,D,E,B,A,A,E,E,E,D,D,B,C,E,C,ABCE,ABCDE,ACDE,AB,BDE,B,AD,BD,36,
B,2,A,34,E,D,A,C,B,D,C,E,D,B,D,E,B,C,A,A,C,C,C,A,E,B,D,D,C,A,D,B,A,A,B,A,A,E,D,E,D,D,B,A,E,D,ABCE,ABCDE,ACDE,ABC,BDE,B,BD,ABCD,41,
B,2,A,38,E,D,B,B,B,D,E,E,D,A,D,E,B,A,B,D,B,C,C,A,A,B,D,C,D,A,C,B,C,C,B,A,A,E,D,D,D,D,B,C,E,D,ABCE,BCE,BC,ABE,BDE,B,AB,BC,28,
B,2,A,40,D,D,B,B,B,D,E,E,D,D,D,E,C,D,A,A,D,B,C,A,E,B,D,D,B,B,C,A,E,A,B,A,A,A,D,A,D,D,B,A,E,D,ABCE,ABCE,ACDE,ABCE,ABD,C,BD,BCE,29,
B,2,A,41,D,D,B,C,D,D,C,E,D,A,B,E,B,D,A,A,C,A,C,A,A,B,D,C,D,A,D,E,C,E,B,A,A,E,B,E,D,D,B,A,E,D,ABCE,ABCDE,ABCE,ABCE,DE,C,B,BCD,33,1
B,2,A,42,C,D,B,C,B,D,C,E,D,B,D,D,D,B,A,C,C,C,C,D,D,B,A,D,C,A,C,E,D,D,B,A,A,E,B,D,D,E,B,A,D,B,ABCE,ABCDE,ABCDE,ABCD,ABCDE,B,AD,ABCDE,29,
B,3,A,43,A,C,A,C,E,C,C,D,D,C,D,B,D,B,A,D,D,E,E,B,C,B,B,B,D,B,D,C,D,D,C,B,C,C,C,D,D,C,C,B,D,E,CD,ABDE,D,C,D,D,BC,BC,11,1
