family,dimension,source,count,mean,std
QGval,Answer consistency,Human,70,4.89047619047619,0.22501693313579232
QGval,Answer consistency,MAS,70,4.947619047619047,0.2577976480288222
QGval,Answerability,Human,70,4.980952380952381,0.09640417945040007
QGval,Answerability,MAS,70,5.0,0.0
QGval,Clarity,Human,70,4.933333333333333,0.2512448876271439
QGval,Clarity,MAS,70,4.985714285714286,0.06799910688326721
QGval,Conciseness,Human,70,4.928571428571429,0.18730100244378853
QGval,Conciseness,MAS,70,4.847619047619047,0.2581097788248361
QGval,Consistency,Human,70,4.9714285714285715,0.13599821376653468
QGval,Consistency,MAS,70,5.0,0.0
QGval,Fluency,Human,70,4.928571428571429,0.1784966487085518
QGval,Fluency,MAS,70,4.961904761904762,0.14516199117089637
QGval,Relevance,Human,70,4.923809523809524,0.18968087931796396
QGval,Relevance,MAS,70,4.957142857142857,0.11238060146627311
ULM,Absoluteness,Human,70,4.957142857142857,0.11238060146627313
ULM,Absoluteness,MAS,70,4.985714285714286,0.08856912810447053
ULM,Completeness,Human,70,4.9714285714285715,0.17713825620894108
ULM,Completeness,MAS,70,4.585714285714285,0.7727978203446971
ULM,Comprehensiveness,Human,70,2.5047619047619047,0.6105430573978695
ULM,Comprehensiveness,MAS,70,2.8095238095238093,0.7078383972965657
ULM,Correctness,Human,70,4.985714285714286,0.11952286093343924
ULM,Correctness,MAS,70,4.995238095238095,0.03984095364447974
ULM,Exclusiveness,Human,70,4.9190476190476184,0.25018971407648977
ULM,Exclusiveness,MAS,70,4.876190476190476,0.22821458226887364
ULM,Explanation score,Human,70,4.057142857142857,0.4283489952640619
ULM,Explanation score,MAS,70,4.219047619047619,0.28873489551763387
ULM,Explicitness,Human,70,3.342857142857143,0.26601023415366565
ULM,Explicitness,MAS,70,3.3095238095238098,0.22213593908085214
ULM,Fairness,Human,70,3.0095238095238095,0.07968190728895957
ULM,Fairness,MAS,70,3.0,0.0
ULM,Feedback,Human,70,3.552380952380952,0.4165872940272824
ULM,Feedback,MAS,70,3.9047619047619047,0.23496912561674715
ULM,Fluency,Human,70,4.942857142857143,0.16998085116581502
ULM,Fluency,MAS,70,4.90952380952381,0.18754648223779083
ULM,Focus,Human,70,4.447619047619047,0.3802097661799304
ULM,Focus,MAS,70,4.509523809523809,0.3246275138898844
ULM,Goal alignment,Human,70,4.966666666666667,0.12878723294162364
ULM,Goal alignment,MAS,70,4.761904761904762,0.2956629993011293
ULM,Guess resistance,Human,70,4.1571428571428575,0.238901326974895
ULM,Guess resistance,MAS,70,4.376190476190476,0.21921708570461929
ULM,Plausibility,Human,70,3.638095238095238,0.5035873152045897
ULM,Plausibility,MAS,70,3.942857142857143,0.36325345295469097
ULM,Reasoning,Human,70,2.3142857142857145,0.6002836535241408
ULM,Reasoning,MAS,70,2.4285714285714284,0.6449178433061663
ULM,Solvability,Human,70,4.9904761904761905,0.07968190728895957
ULM,Solvability,MAS,70,4.976190476190476,0.16370733648032787
