item_id,source_true,n_expert_ratings,expert_quality_score_5_mean,expert_quality_score_5_sd,expert_qgeval_score_5_mean,expert_llm_score_5_mean,mean_match_score
H001,Human,3,3.956521739130435,0.3558849031248893,4.095238095238096,3.8958333333333335,1.0
H002,Human,3,4.2898550724637685,0.2472278566555358,4.9523809523809526,4.0,1.0
H003,Human,3,4.260869565217392,0.19924242151981922,4.857142857142857,4.0,1.0
H004,Human,3,4.043478260869565,0.4518393411049245,4.857142857142857,3.6875,0.9911504424778762
H005,Human,3,4.202898550724638,0.314529484263923,4.904761904761904,3.8958333333333335,0.9782608695652174
H006,Human,3,4.304347826086956,0.22591967055246223,5.0,4.0,1.0
H007,Human,3,4.304347826086956,0.23006533139692084,5.0,4.0,1.0
H008,Human,3,4.188405797101449,0.329212078017407,4.9523809523809526,3.8541666666666665,1.0
H009,Human,3,4.246376811594203,0.28949252689040833,4.857142857142857,3.9791666666666665,1.0
H010,Human,3,4.246376811594203,0.28949252689040833,4.714285714285714,4.041666666666667,0.9962825278810409
H011,Human,3,4.318840579710145,0.21447316792679325,5.0,4.020833333333333,1.0
H012,Human,3,4.492753623188406,0.13976305450714446,5.0,4.270833333333333,1.0
H013,Human,3,4.333333333333333,0.2008174849355218,5.0,4.041666666666667,1.0
H014,Human,3,4.536231884057972,0.2547593598731443,4.9523809523809526,4.354166666666667,1.0
H015,Human,3,4.333333333333333,0.27612404178634303,5.0,4.041666666666667,1.0
H016,Human,3,4.217391304347826,0.3043478260869564,4.904761904761904,3.9166666666666665,1.0
H017,Human,3,4.231884057971015,0.2959504037197412,4.904761904761904,3.9375,1.0
H018,Human,3,4.492753623188406,0.13976305450714446,4.9523809523809526,4.291666666666667,1.0
H019,Human,3,4.2898550724637685,0.2394595890124393,5.0,3.9791666666666665,1.0
H020,Human,3,3.8695652173913047,0.11503266569846042,4.523809523809524,3.5833333333333335,1.0
H021,Human,3,4.260869565217392,0.26446793609992253,4.904761904761904,3.9791666666666665,0.983606557377049
H022,Human,3,4.449275362318841,0.10941789036624286,5.0,4.208333333333333,0.9947089947089948
H023,Human,3,4.347826086956522,0.18951734537133347,4.904761904761904,4.104166666666667,0.9958847736625515
H024,Human,3,4.492753623188406,0.13976305450714446,4.904761904761904,4.3125,0.9969969969969968
H025,Human,3,4.36231884057971,0.18101443473618534,5.0,4.083333333333333,0.9949238578680203
H026,Human,3,4.478260869565218,0.08695652173913049,5.0,4.25,0.5444444444444444
H027,Human,3,4.478260869565218,0.07530655685082063,4.904761904761904,4.291666666666667,0.5858585858585859
H028,Human,3,4.521739130434782,0.11503266569846052,4.9523809523809526,4.333333333333333,0.4216216216216216
H029,Human,3,4.246376811594203,0.25102185616940254,4.571428571428572,4.104166666666667,0.45685279187817257
H030,Human,3,4.492753623188406,0.15269063409931508,5.0,4.270833333333333,0.4397905759162304
H031,Human,3,4.463768115942028,0.10941789036624297,5.0,4.229166666666667,0.5024630541871922
H032,Human,3,4.492753623188406,0.15269063409931508,5.0,4.270833333333333,0.47668393782383417
H033,Human,3,4.463768115942028,0.17571529931858215,5.0,4.229166666666667,0.4431137724550898
H034,Human,3,4.478260869565218,0.17391304347826098,5.0,4.25,0.602510460251046
H035,Human,3,4.463768115942028,0.10941789036624297,5.0,4.229166666666667,0.4705882352941176
H036,Human,3,4.507246376811595,0.05020437123388015,5.0,4.291666666666667,0.5909090909090909
H037,Human,3,4.536231884057971,0.02510218561694049,5.0,4.333333333333333,0.4953271028037383
H038,Human,3,4.536231884057972,0.10040874246776094,5.0,4.333333333333333,0.6705882352941176
H039,Human,3,4.536231884057972,0.10040874246776094,5.0,4.333333333333333,0.618421052631579
H040,Human,3,4.391304347826087,0.1506131137016416,4.904761904761904,4.166666666666667,0.5432098765432098
H041,Human,3,4.449275362318841,0.1757152993185821,5.0,4.208333333333333,0.6105263157894737
H042,Human,3,4.463768115942028,0.16460603900870385,5.0,4.229166666666667,0.5647058823529412
H043,Human,3,4.3768115942028984,0.19605433707925624,5.0,4.104166666666667,0.9711538461538461
H044,Human,3,4.434782608695652,0.11503266569846052,5.0,4.1875,0.9716981132075472
H045,Human,3,4.463768115942028,0.20081748493552232,5.0,4.229166666666667,0.981549815498155
H046,Human,3,4.478260869565218,0.15676309893321722,5.0,4.25,0.970873786407767
H047,Human,3,5.362318840579711,1.7593032933905526,5.0,5.520833333333333,0.9514563106796117
H048,Human,3,4.202898550724638,0.10040874246776055,4.9523809523809526,3.875,1.0
H049,Human,3,4.333333333333333,0.20547024461967853,5.0,4.041666666666667,0.9636363636363635
H050,Human,3,4.217391304347826,0.0,4.9523809523809526,3.8958333333333335,0.9770114942528737
M001,MAS,3,4.347826086956522,0.18951734537133347,5.0,4.0625,0.9937106918238993
M002,MAS,3,4.188405797101449,0.32632841302022314,5.0,3.8333333333333335,1.0
M003,MAS,3,4.492753623188406,0.13976305450714446,5.0,4.270833333333333,0.9830508474576272
M004,MAS,3,4.478260869565218,0.04347826086956463,4.904761904761905,4.291666666666667,0.998073217726397
M005,MAS,3,4.594202898550725,0.09050721736809321,5.0,4.416666666666667,0.9964912280701754
M006,MAS,3,4.391304347826087,0.2644679360999227,5.0,4.125,0.9923664122137404
M007,MAS,3,4.318840579710145,0.223113106062908,5.0,4.020833333333333,0.9917355371900826
M008,MAS,3,4.550724637681159,0.09050721736809292,5.0,4.354166666666667,1.0
M009,MAS,3,4.579710144927536,0.06641414050660648,5.0,4.395833333333333,1.0
M010,MAS,3,4.478260869565218,0.07530655685082063,4.857142857142857,4.3125,0.9968253968253968
M011,MAS,3,4.565217391304348,0.07530655685082095,5.0,4.375,0.9956709956709956
M012,MAS,3,4.463768115942028,0.09050721736809274,4.9523809523809526,4.25,0.9968051118210862
M013,MAS,3,4.536231884057972,0.10040874246776094,5.0,4.333333333333333,0.9954337899543378
M014,MAS,3,4.449275362318841,0.025102185616940234,4.809523809523809,4.291666666666667,0.996742671009772
M015,MAS,3,4.347826086956522,0.2644679360999227,4.9523809523809526,4.083333333333333,0.9969969969969968
M016,MAS,3,4.36231884057971,0.25102185616940254,4.9523809523809526,4.104166666666667,0.996078431372549
M017,MAS,3,4.231884057971015,0.289492526890408,5.0,3.8958333333333335,0.9941520467836257
M018,MAS,3,4.304347826086956,0.30122622740328325,5.0,4.0,0.9950248756218906
M019,MAS,3,4.333333333333333,0.2008174849355218,5.0,4.041666666666667,0.9964664310954063
M020,MAS,3,4.391304347826087,0.1506131137016416,5.0,4.125,0.9969040247678018
M021,MAS,3,4.565217391304348,0.07530655685082095,5.0,4.375,0.9973614775725593
M022,MAS,3,4.391304347826087,0.22591967055246223,5.0,4.125,0.9971671388101983
M023,MAS,3,4.333333333333333,0.2008174849355218,5.0,4.041666666666667,0.992
M024,MAS,3,4.304347826086956,0.23006533139692084,4.9523809523809526,4.020833333333333,0.9894736842105263
M025,MAS,3,4.507246376811595,0.12551092808470135,5.0,4.291666666666667,0.9967637540453075
M026,MAS,6,4.521739130434782,0.10288834405390636,5.0,4.3125,0.8383874676631216
M028,MAS,3,4.391304347826087,0.04347826086956519,5.0,4.125,0.7320754716981132
M029,MAS,3,4.4057971014492745,0.13976305450714446,4.809523809523809,4.229166666666667,0.9856459330143541
M031,MAS,3,4.463768115942028,0.1646060390087038,4.904761904761904,4.270833333333333,0.6426735218508998
M032,MAS,9,4.492753623188406,0.10196555999616137,4.888888888888889,4.319444444444445,0.8132049856418642
M035,MAS,6,4.550724637681159,0.08095211619576224,5.0,4.354166666666667,0.8572839506172839
M037,MAS,3,4.507246376811595,0.12551092808470135,4.904761904761904,4.333333333333333,0.6787878787878788
M038,MAS,6,4.36231884057971,0.15716454158522827,4.904761904761904,4.125,0.8579799956512285
M040,MAS,3,4.36231884057971,0.17571529931858157,4.904761904761904,4.125,0.6557377049180327
M041,MAS,6,4.449275362318841,0.14199940537873526,4.976190476190476,4.21875,0.8665254237288136
M042,MAS,3,4.492753623188406,0.13976305450714446,5.0,4.270833333333333,0.9856459330143541
M043,MAS,3,4.260869565217392,0.26446793609992253,4.9523809523809526,3.9583333333333335,0.9464285714285715
M044,MAS,3,4.347826086956522,0.2644679360999227,5.0,4.0625,0.9736842105263158
M045,MAS,3,4.318840579710145,0.21447316792679325,5.0,4.020833333333333,0.977491961414791
M046,MAS,3,4.3768115942028984,0.16460603900870366,5.0,4.104166666666667,0.9736842105263158
M047,MAS,3,4.579710144927536,0.02510218561694062,5.0,4.395833333333333,0.9814126394052045
M048,MAS,3,4.579710144927536,0.02510218561694062,5.0,4.395833333333333,0.982078853046595
M049,MAS,3,4.275362318840579,0.3377153680501752,4.9523809523809526,3.9791666666666665,0.9802631578947368
M050,MAS,3,4.391304347826087,0.15676309893321677,4.9523809523809526,4.145833333333333,0.9642857142857143
