item_id,source_true,n_expert_ratings,expert_quality_score_5_mean,expert_quality_score_5_sd,expert_qgeval_score_5_mean,expert_ulm_score_5_mean,mean_match_score
H001,Human,3,4.115942028985507,0.3512624634236625,4.095238095238096,4.125,1.0
H002,Human,3,4.431159420289855,0.257756179881629,4.9523809523809526,4.203125,1.0
H003,Human,3,4.409420289855073,0.21253636776902135,4.857142857142857,4.213541666666667,1.0
H004,Human,3,4.1811594202898545,0.4643904339133948,4.857142857142857,3.8854166666666665,0.991150442477876
H005,Human,3,4.340579710144927,0.3270517129390366,4.904761904761904,4.09375,0.9782608695652174
H006,Human,3,4.445652173913043,0.23539573725769283,5.0,4.203125,1.0
H007,Human,3,4.449275362318841,0.2362307726478702,5.0,4.208333333333333,1.0
H008,Human,3,4.326086956521739,0.3416572531630807,4.9523809523809526,4.052083333333333,1.0
H009,Human,3,4.391304347826087,0.2954842873710474,4.857142857142857,4.1875,1.0
H010,Human,3,4.391304347826087,0.2954842873710474,4.714285714285714,4.25,0.9962825278810407
H011,Human,3,4.463768115942028,0.22071731029736294,5.0,4.229166666666667,1.0
H012,Human,3,4.648550724637681,0.1459654860759686,5.0,4.494791666666667,1.0
H013,Human,3,4.478260869565218,0.2070930313397571,5.0,4.25,1.0
H014,Human,3,4.695652173913044,0.26713490711835886,4.9523809523809526,4.583333333333333,1.0
H015,Human,3,4.481884057971015,0.2886751345948129,5.0,4.255208333333333,1.0
H016,Human,3,4.355072463768116,0.3167752607883248,4.904761904761904,4.114583333333333,1.0
H017,Human,3,4.369565217391305,0.30820536692951805,4.904761904761904,4.135416666666667,1.0
H018,Human,3,4.648550724637681,0.1459654860759686,4.9523809523809526,4.515625,1.0
H019,Human,3,4.434782608695652,0.2457098816403767,5.0,4.1875,1.0
H020,Human,3,4.003623188405797,0.11313402171011566,4.523809523809524,3.7760416666666665,1.0
H021,Human,3,4.405797101449275,0.27072273685829906,4.904761904761904,4.1875,0.983606557377049
H022,Human,3,4.594202898550725,0.11520371808394682,5.0,4.416666666666667,0.9947089947089948
H023,Human,3,4.492753623188406,0.19575279216290004,4.904761904761904,4.3125,0.9958847736625516
H024,Human,3,4.648550724637681,0.1459654860759686,4.904761904761904,4.536458333333333,0.9969969969969968
H025,Human,3,4.503623188405797,0.19148130814092498,5.0,4.286458333333333,0.9949238578680205
H026,Human,3,4.6268115942028984,0.09244457117516727,5.0,4.463541666666667,0.5444444444444444
H027,Human,3,4.630434782608696,0.07530655685082063,4.904761904761904,4.510416666666667,0.5858585858585859
