item_type,stage,model,input_tokens_estimated,output_tokens_estimated,input_price_usd_per_million,output_price_usd_per_million,input_cost_usd,output_cost_usd,pricing_source,pricing_checked_date,token_method
A1,Generation,deepseek-v4-pro,4448.415118110757,471.89999999999947,0.435,0.87,0.0019350605763781793,0.00041055299999999954,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A1,Answer explanation,deepseek-v4-pro,623.5409999999902,844.799999999997,0.435,0.87,0.0002712403349999957,0.0007349759999999974,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A1,Test-point restoration,deepseek-v4-flash,538.4489999999997,56.699999999999974,0.14,0.28,7.538285999999997e-05,1.5875999999999995e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A1,QGval ×4,deepseek-v4-pro,10121.999999999935,167.99999999999994,0.435,0.87,0.004403069999999972,0.00014615999999999994,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A1,ULM ×4,deepseek-v4-pro,14423.999999999454,319.20000000000016,0.435,0.87,0.006274439999999762,0.00027770400000000015,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A2,Generation,deepseek-v4-pro,22457.10849858696,1805.3999999999944,0.435,0.87,0.009768842196885327,0.0015706979999999952,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A2,Answer explanation,deepseek-v4-pro,2346.3179999999747,2623.19999999999,0.435,0.87,0.001020648329999989,0.002282183999999991,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A2,Test-point restoration,deepseek-v4-flash,1976.8259999999952,148.5,0.14,0.28,0.0002767556399999994,4.1580000000000005e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A2,QGval ×4,deepseek-v4-pro,22653.599999999897,431.9999999999999,0.435,0.87,0.009854315999999955,0.0003758399999999999,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A2,ULM ×4,deepseek-v4-pro,26955.599999999416,820.8000000000004,0.435,0.87,0.011725685999999746,0.0007140960000000003,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A3,Generation,deepseek-v4-pro,7065.826382394978,1073.9999999999984,0.435,0.87,0.0030736344763418154,0.0009343799999999985,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
