M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1,5,5,4,5,5,5,5,34,5,5,4,5,2,4,4,1,5,5,5,4,2,3,3,3,60,是
,13,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,3,5,5,5,4,2,4,3,3,61,是
,14,5,5,5,5,5,5,5,35,5,5,2,5,4,4,4,3,5,3,5,4,3,4,3,3,62,是
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,3,4,3,4,64,否
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,4,5,5,5,4,4,3,4,70,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70,否
,18,5,5,4,5,5,5,5,34,5,5,2,5,2,4,4,1,5,5,4,4,2,4,3,3,58,否
,19,5,5,4,5,5,5,5,34,5,5,2,4,2,4,4,5,5,5,5,4,3,4,3,4,64,否
,9,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,,5,5,4.72727272727273,5,5,5,5,34.7272727272727,4.90909090909091,4.90909090909091,3,4.81818181818182,2.63636363636364,4,4.18181818181818,2.81818181818182,4.90909090909091,4.81818181818182,4.90909090909091,4.18181818181818,2.54545454545455,3.90909090909091,3,3.36363636363636,62.9090909090909,
