P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,3,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,4,4,5,5,4,5,5,5,33,5,4,3,5,1,4,4,3,5,5,5,2,1,2,3,2,54,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,否
,15,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,是
,16,5,5,5,4,4,4,4,31,5,5,3,5,1,4,4,5,5,5,5,1,1,2,3,2,56,是
,17,5,5,5,4,5,5,5,34,5,5,3,5,1,3,3,5,5,5,5,2,1,3,3,3,57,是
A2,1,5,4,5,5,4,5,5,33,5,5,3,5,4,3,3,5,3,5,5,5,3,4,3,4,65,是
,2,5,5,5,5,4,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,3,2,3,3,3,61,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,2,2,3,3,3,60,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,26,4,5,4,5,5,5,5,33,5,5,3,5,1,4,4,5,5,5,5,3,2,4,3,4,63,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,是
,28,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66,是
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,66,否
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,32,4,5,5,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,是
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,2,2,4,3,4,65,是
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,3,2,3,3,3,63,否
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,否
,38,5,5,5,5,5,5,5,35,5,5,2,5,1,5,4,5,5,5,5,4,2,3,3,3,62,否
"A3,4",1,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,4,3,4,66,否
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,否
,5,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,3,3,4,3,4,65,是
,6,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,是
,7,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,是
,8,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,是
,9,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,是
,10,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,否
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,7,5,5,5,5,5,5,4,34,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,是
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,3,3,5,66,是
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,6,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,3,3,3,3,63,是
,7,5,5,5,5,5,5,5,35,5,3,3,5,1,4,4,5,5,5,5,4,3,3,3,3,61,否
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,2,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,1,3,3,3,61,否
,平均,4.92,4.98,4.98,4.86,4.94,4.98,4.86,34.52,4.98,4.94,2.72,5,2.08,4.38,3.9,4.96,4.96,5,5,3.1,2.24,3.48,3,3.6,63.34,正确率：26/50
,方差,0.27404751561787,0.141421356237309,0.141421356237309,0.350509832753865,0.239897937482095,0.141421356237309,0.350509832753865,0.788695642390986,0.141421356237309,0.313635691430002,0.453557367611073,0,0.853324829889604,0.567486401886891,0.303045763365663,0.282842712474619,0.282842712474619,0,0,1.01519074311085,0.743955232359517,0.614119578862991,0,0.699854212223765,3.56633923094875,A1:4/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:8/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:7/14
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:1/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:6/8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
