P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
A1,3,4,5,4,5,5,5,5,33,4,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,69,否
,4,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,5,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,14,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,15,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,16,5,3,5,5,5,5,5,33,5,3,3,5,2,4,4,5,5,5,5,3,2,3,3,4,61,是
,17,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
A2,1,3,3,2,5,5,5,5,28,3,3,3,5,5,5,3,5,5,5,5,4,4,4,3,3,65,是
,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,6,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,17,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,26,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,27,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,28,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,29,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,30,5,5,5,5,5,5,5,35,5,5,4,5,5,5,5,5,5,5,5,5,4,5,3,5,76,否
,31,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,32,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,33,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,35,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,36,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,37,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,38,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
"A3,4",1,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,3,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,4,4,3,3,5,5,5,5,30,4,3,3,5,4,4,4,5,5,5,4,3,3,3,3,4,62,是
,5,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,6,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,7,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,8,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,9,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,10,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,13,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,14,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
B,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,8,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,9,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
X,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,3,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,5,3,4,3,5,73,否
,4,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,5,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,4,2,4,3,5,5,70,否
,6,5,5,5,5,5,5,4,34,5,4,4,5,3,5,4,5,5,5,4,3,2,3,3,4,64,否
,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,8,5,5,5,5,5,5,4,34,5,4,3,5,3,5,4,5,5,5,4,3,2,3,3,4,63,是
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
A1,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,2,3,3,5,67,否
,19,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,20,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
A2,44,4,5,4,5,5,5,5,33,4,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,67,否
,45,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
