M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,4,3,5,67,否
多项选择题,1,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,1,4,3,3,60,是
,13,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,3,4,3,3,62,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,3,5,4,2,2,3,3,61,是
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,2,4,3,4,63,否
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,4,4,3,4,71,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,4,4,3,4,71,否
,18,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,19,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,5,5,5,5,4,3,4,3,4,65,否
,平均,4.94,5,4.86,5,5,5,4.98,34.78,4.92,4.84,3.06,4.62,2.66,4.34,4.14,4.48,5,4.96,4.98,3.98,2.52,3.9,3,3.92,65.32,正确率:20/50
,方差,0.239897937482095,0,0.350509832753865,0,0,0,0.141421356237309,0.464670170494017,0.27404751561787,0.37032803990902,0.239897937482095,0.725342987130635,1.08062717994728,0.519418827505653,0.350509832753865,1.12920416259254,0,0.282842712474619,0.141421356237309,0.552914356581818,0.886174995386904,0.364215679542342,0,0.444467119602973,3.4784467563461,A1：2/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2: 9/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:5/14
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:0/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:4/8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
