,,,P卷,,,
,,,姓名,40,41,42
AB卷,年级,院区,标准答案,A,E,D
A,1,A,1,A,E,D
A,2,A,2,A,E,D
A,2,A,3,A,E,D
A,1,A,4,A,C,A
A,1,A,5,A,E,D
A,1,A,6,A,A,D
A,2,A,7,B,A,D
A,3,A,8,A,E,D
A,3,A,9,A,E,D
A,2,A,10,A,E,B
A,1,A,11,A,A,D
A,2,A,12,C,B,D
A,1,B,13,A,E,D
A,2,A,14,C,E,D
A,1,B,15,A,E,D
A,1,B,16,A,E,D
A,2,B,17,A,D,A
A,1,B,18,D,E,D
A,3,B,19,A,E,D
A,3,B,20,A,E,D
A,3,A,21,A,E,A
A,2,A,22,E,E,C
A,2,B,23,C,E,D
A,2,B,24,C,E,D
A,3,B,25,C,E,D
B,1,A,26,A,E,D
B,3,A,27,D,D,D
B,3,A,28,A,E,A
B,2,B,29,A,E,D
B,2,B,30,D,E,D
B,1,B,31,C,C,B
B,1,B,32,D,A,B
B,1,A,33,C,E,C
B,2,A,34,A,E,D
B,2,B,35,A,E,D
B,1,B,36,B,E,D
B,2,B,37,A,E,D
B,2,A,38,C,E,D
B,3,B,39,B,A,D
B,2,A,40,A,E,D
B,2,A,41,A,E,D
B,2,A,42,A,D,B
B,3,A,43,B,D,E
B,1,A,44,A,E,D
B,1,A,45,A,C,A
B,2,A,46,C,A,D
B,1,A,47,A,E,D
B,1,A,48,A,E,D
B,1,A,49,E,D,D
B,3,A,50,A,E,A
